Year,Hemline,CCI,Unemployment,Income
1984,7.4,100.93618333333335,7.508333333333333,60420
1985,6.7272727272727275,100.99659166666667,7.191666666666666,61570
1986,7.4375,101.34935,7.0,63850
1987,7.333333333333333,101.29695833333334,6.175,64650
1988,6.416666666666667,101.66634166666667,5.491666666666667,65130
1989,6.35,101.40252500000001,5.258333333333334,66240
1990,6.818181818181818,100.62746083333333,5.616666666666667,65440
1991,6.818181818181818,100.20416999999999,6.8500000000000005,63530
1992,7.285714285714286,99.62126,7.491666666666667,63010
1993,7.3,99.35903416666667,6.908333333333334,62700
1994,7.0,100.71405750000001,6.1000000000000005,63370
1995,7.583333333333333,100.7315,5.591666666666666,65380
1996,7.625,100.66935833333334,5.408333333333334,66340
1997,7.875,101.24876666666667,4.941666666666666,67720
1998,7.857142857142857,101.432075,4.5,70200
1999,7.2272727272727275,101.851,4.216666666666667,71980
2000,7.888888888888889,102.10721666666666,3.966666666666667,71790
