serNum,thick,stitchDen,elong,cotton,sewThrdCns
1,1.44,3,3.8,1,12.5
2,1.44,4,3.8,1,13.15
3,1.44,5,3.8,1,13.7
4,2.88,3,3.8,1,15.1
5,2.88,4,3.8,1,16.3
6,2.88,5,3.8,1,17.48
7,4.32,3,3.8,1,18.12
8,4.32,4,3.8,1,19.11
9,4.32,5,3.8,1,20.08
10,5.76,3,3.8,1,21.3
11,5.76,4,3.8,1,23.21
12,5.76,5,3.8,1,24.8
13,1.64,3,3.8,1,12.91
14,1.64,4,3.8,1,13.7
15,1.64,5,3.8,1,14.7
16,3.28,3,3.8,1,15.5
17,3.28,4,3.8,1,16.7
18,3.28,5,3.8,1,18.11
19,4.92,3,3.8,1,19.01
20,4.92,4,3.8,1,20.22
21,4.92,5,3.8,1,21.24
22,6.56,3,3.8,1,23.38
23,6.56,4,3.8,1,24.82
24,6.56,5,3.8,1,26.22
1,1.44,3,17.7,0,12.38
2,1.44,4,17.7,0,13.02
3,1.44,5,17.7,0,13.66
4,2.88,3,17.7,0,14.5
5,2.88,4,17.7,0,15.4
6,2.88,5,17.7,0,16.2
7,4.32,3,17.7,0,17.12
8,4.32,4,17.7,0,17.9
9,4.32,5,17.7,0,19.28
10,5.76,3,17.7,0,20.1
11,5.76,4,17.7,0,21.86
12,5.76,5,17.7,0,22.88
13,1.64,3,17.7,0,12.58
14,1.64,4,17.7,0,13.08
15,1.64,5,17.7,0,14.32
16,3.28,3,17.7,0,15.1
17,3.28,4,17.7,0,15.84
18,3.28,5,17.7,0,17.3
19,4.92,3,17.7,0,17.9
20,4.92,4,17.7,0,18.88
21,4.92,5,17.7,0,20.28
22,6.56,3,17.7,0,21.86
23,6.56,4,17.7,0,22.94
24,6.56,5,17.7,0,24.32
